Miner 194800 added to system

===== ACTIVE MINERS =====
- Process  194793
- Process  194800

Winner 194800 => [ Y ] => Accepted
Winner 194800 => [ N Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Winner 194800 => [ Y Y ] => Accepted
Miner 194800 exited system.

===== ACTIVE MINERS =====
- Process  194793
- Process  194803

