run_id,num_miners,num_threads,secs,elapsed_s,accepted,rejected,total_blocks,total_wallets,blocks_per_sec
m2_t1_r1,2,1,10,11.0071,85,1,86,0,7.81314
m2_t1_r2,2,1,10,11.0065,85,1,86,0,7.81356
m2_t1_r3,2,1,10,11.0052,85,1,86,0,7.81449
m2_t2_r1,2,2,10,11.0051,88,1,89,0,8.08716
m2_t2_r2,2,2,10,11.0049,88,0,88,0,7.99644
m2_t2_r3,2,2,10,11.0053,88,0,88,0,7.99615
m2_t4_r1,2,4,10,11.0072,89,1,90,0,8.17647
m2_t4_r2,2,4,10,11.0061,89,1,90,0,8.17728
m2_t4_r3,2,4,10,11.0056,89,0,89,0,8.08679
m2_t8_r1,2,8,10,11.0056,90,0,90,0,8.17766
m2_t8_r2,2,8,10,11.0056,90,0,90,0,8.17766
m2_t8_r3,2,8,10,11.006,90,1,91,0,8.26822
m3_t1_r1,3,1,10,11.007,86,0,86,0,7.81321
m3_t1_r2,3,1,10,11.006,86,0,86,0,7.81392
m3_t1_r3,3,1,10,11.005,87,1,88,0,7.99637
m3_t2_r1,3,2,10,11.0042,90,0,90,0,8.1787
m3_t2_r2,3,2,10,11.0059,89,1,90,0,8.17743
m3_t2_r3,3,2,10,11.0038,90,0,90,0,8.17899
m3_t4_r1,3,4,10,11.0061,90,1,91,0,8.26814
m3_t4_r2,3,4,10,11.0036,90,1,91,0,8.27002
m3_t4_r3,3,4,10,11.0053,91,0,91,0,8.26874
m3_t8_r1,3,8,10,11.0043,92,0,92,0,8.36037
m3_t8_r2,3,8,10,11.0051,90,0,90,0,8.17803
m3_t8_r3,3,8,10,11.0055,91,0,91,0,8.26859
m4_t1_r1,4,1,10,11.0051,90,0,90,0,8.17803
m4_t1_r2,4,1,10,11.0054,88,0,88,0,7.99607
m4_t1_r3,4,1,10,11.0048,87,0,87,0,7.90564
m4_t2_r1,4,2,10,11.0056,90,1,91,0,8.26852
m4_t2_r2,4,2,10,11.0053,90,0,90,0,8.17788
m4_t2_r3,4,2,10,11.0056,90,0,90,0,8.17766
m4_t4_r1,4,4,10,11.0055,90,1,91,0,8.26859
m4_t4_r2,4,4,10,11.0054,92,1,93,0,8.4504
m4_t4_r3,4,4,10,11.006,1,89,90,0,8.17736
m4_t8_r1,4,8,10,11.0062,90,1,91,0,8.26807
m4_t8_r2,4,8,10,11.0056,91,0,91,0,8.26852
m4_t8_r3,4,8,10,11.0062,90,0,90,0,8.17721
